@monsters_of_rock@	-event=130 -art=2
@ralph_metzner@	-person=30
@edgardo_angara@	-person=51
@düsseldorf_airport@	-location=45
@chennai_mathematical_institute@	-organization=20
@worlds_of_fun@	-location=54
@umrao_jaan@	-art=63
@belgian@	-people-ethnicity=101 -location=24 -event=23 -organization=18 -living_thing=7 -finance-currency=2 -food=1
@high_blood_pressure@	-disease=28
@kups@	-organization=81 -broadcast_network=1
@reidsville,_north_carolina@	-location=49
@macgregor@	-location=16 -person=2 -title=1 -organization=1
@tundzha@	-location=24
@stolberg-wernigerode@	-location=36
@caiaphas@	-person=124
@hollywood_roosevelt_hotel@	-location=48
@unionist_party@	-organization=163
@narasimharaju@	-person=27
@the_outsider@	-art=64 -product=2
@gallaudet_university@	-organization=245
@vimy_ridge@	-event=22 -location=1
@madame_vestris@	-person=26
@ta-dah@	-art=22
@assassin's_creed@	-product=178
@the_wrens@	-person=23 -organization=1
@gmina_oborniki@	-location=50
@tanker@	-product=258 -organization=1
@cecil_aronowitz@	-person=28
@zte@	-organization=112
@dean_miller@	-person=38
@bell_206@	-product=101
@rc_toulon@	-organization=27
@the_monkees@	-person=686 -broadcast_program=194 -art=12
@west_haven@	-location=59 -organization=4
@monogram_pictures@	-organization=218
@chara@	-living_thing=25 -location=6 -language=6 -person=1
@athlone@	-location=37 -organization=6 -person=1
@charles_fefferman@	-person=22
@kenya_national_football_team@	-organization=37
@aromanian@	-people-ethnicity=119 -language=80
@wolfsberg@	-location=33 -organization=3
@theodor_w._adorno@	-person=140 -award=1
@battle_of_barnet@	-event=84
@shirley_bassey@	-person=623 -art=7
@quicksilver@	-chemistry=56 -art=44 -person=22 -product=15 -broadcast_program=3 -organization=1
@blind_willie_mctell@	-person=92 -art=10
@battle_of_marignano@	-event=55
@babol_county@	-location=563
@alberto_callaspo@	-person=30
@moana@	-art=14 -location=11 -person=2 -broadcast_program=1
@coenwulf@	-person=27
@santee@	-location=48 -people-ethnicity=13 -art=3 -product=3
@world_masterpiece_theater@	-broadcast_program=57 -person=1
@woody_williams@	-person=44
@wbez@	-organization=59
@thomas_charles-edwards@	-person=43
@solsona@	-location=33
@maurice_duruflé@	-person=89 -art=3
@vivian_chow@	-person=30
@doubleday_canada@	-organization=27
@sir_john_murray@	-person=20 -organization=1
@catalan@	-language=1574 -location=584 -organization=7 -person=5 -internet-website=2 -people-ethnicity=1
@battle_of_the_yalu_river@	-event=33
@hirmand_county@	-location=316
@dekalb_county,_indiana@	-location=27
@sugar_creek@	-location=40 -art=3
@petra_kelly@	-person=39
@dick_curless@	-person=21
@prose_edda@	-art=379
@groombridge@	-location=42 -person=1
@citizen@	-organization=188 -art=9 -people-ethnicity=1
@albion_park@	-location=24 -organization=1
@bounty_killer@	-person=96 -art=3
@interstate_69@	-location=168
@langford@	-location=72 -organization=5
@nasa_tv@	-broadcast_network=50
@enzo_ferrari@	-person=169 -product=10
@tarzan_and_the_golden_lion@	-art=36
@bo'ness@	-location=141 -organization=1
@los_angeles_memorial_coliseum@	-location=394
@finnish_democratic_republic@	-location=26
@doug_fister@	-person=47
@naan@	-food=34 -art=8 -person=1
@south_yorkshire@	-location=1677 -organization=3
@delinquent_habits@	-person=32 -art=3
@hanbali@	-religion-religion=148
@kielce@	-location=2546 -event=1
@uppingham@	-organization=38 -location=3
@the_apple_dumpling_gang_rides_again@	-art=29
@locus_award@	-award=261 -art=1
@senufo@	-people-ethnicity=31 -language=20
@jeffrey_dahmer@	-person=128
@the_yiddish_policemen's_union@	-art=32
@gaius_marcius_coriolanus@	-person=25
@raf_lyneham@	-location=72
@say_anything@	-person=139 -art=15 -product=1
@general_vallejo@	-person=21
@cheat_mountain@	-location=35 -event=14
@lux@	-organization=14 -product=4 -location=2 -art=1 -person=1
@battle_of_khanwa@	-event=37
@ngoni@	-product=28 -language=1
@bbc_radio_cornwall@	-organization=22
@the_milky_way@	-art=30 -location=2
@winesburg,_ohio@	-art=34 -location=12
@rené_thomas@	-person=25
@ricardo_iorio@	-person=32
@laurent_de_la_hyre@	-person=26
@allegheny_county@	-location=597
@calophyllum@	-living_thing=27
@košice@	-location=661 -organization=17
@2010_24_hours_of_le_mans@	-event=32
@renegades@	-art=51 -person=9 -organization=7 -event=6
@carlo_levi@	-person=45
@sr_59@	-location=20
@simmental@	-location=36
@kendra@	-broadcast_program=18 -person=3
@st._joseph's_college@	-organization=121 -location=7
@popstars@	-broadcast_program=334 -art=7 -person=1
@the_attractions@	-person=31
@cam_ranh_bay@	-location=144
@electric_blue@	-visual_art-color=9 -art=9 -broadcast_program=3
@hayseed_dixie@	-person=55
@retalhuleu@	-location=39
@yonfan@	-person=20
@embrace@	-person=151 -art=9 -organization=5
@south_yarra@	-location=119
@1st_arrondissement@	-location=42
@cover_story@	-art=25 -organization=1
@scott_mcneil@	-person=166
@great_lakes@	-location=2475 -organization=13 -person=3
@powell@	-person=299 -location=81 -organization=12
@the_cricketer@	-art=47
@robert_stayner_holford@	-person=21
@scabbard_and_blade@	-organization=21
@demon_knight@	-art=27
@the_raven@	-art=296 -location=4 -person=1
@kerner@	-food=27 -person=2
@lake_elsinore@	-location=65 -organization=8
@777@	-product=33 -art=5
@torch_lake@	-location=21
@sammy_lee@	-person=47
@alamein@	-location=28 -metropolitan_transit-transit_line=24 -event=9
@inconceivable@	-broadcast_program=22 -art=8
@deerfield_township@	-location=62
@rudy_fernández@	-person=61
@kaleido_star@	-broadcast_program=94
@go-sakuramachi@	-person=20
@takashima@	-location=32
@duchess_of_cornwall@	-title=44 -person=1
@madhu_balakrishnan@	-person=30
@cortez@	-location=38 -person=20 -organization=1
@charles_trowbridge@	-person=55
@atlantic@	-location=1743 -organization=698 -art=19 -product=16 -event=12 -living_thing=6 -metropolitan_transit-transit_line=1
@settat_province@	-location=72
@narni@	-location=76
@jacarepaguá@	-location=22 -event=1
@earl_of_pembroke@	-title=116 -person=28 -product=3
@saidapet@	-location=36
@orchard_lake@	-location=20
@jim_montgomery@	-person=29
@edward_williams@	-person=56
@new_hanover@	-location=71
@night_watch@	-art=128 -product=1 -title=1
@chittoor@	-location=153
@coimbra@	-location=786 -organization=13 -title=1
@hugh_marsh@	-person=29
@tay_bridge_disaster@	-event=48 -location=2
@fred_wedlock@	-person=22
@point_lookout@	-location=50
@broward_college@	-organization=50
@johnny_orr@	-person=43
@croton-on-hudson@	-location=36
@zimbabwe_national_football_team@	-organization=37
@oliver_hartmann@	-person=40
@magersfontein@	-event=23 -location=7
@johann_bernoulli@	-person=50
@peter_nicholls@	-person=91
@inc@	-organization=123 -art=12
@great_illyrian_revolt@	-event=29
@robin_holcomb@	-person=22 -art=1
@adrian_smith@	-person=237
@the_sapphires@	-art=41 -person=6
@bajram_curri@	-person=33 -location=4
@planxty@	-person=97 -art=5
@30_seconds_to_mars@	-art=17 -person=6
@james_rolfe@	-person=32 -broadcast_program=1
@mariners@	-organization=64 -title=10 -product=1
@domingo@	-person=16 -art=8
@mamadou_tandja@	-person=79
@rick_mast@	-person=109
@wheesung@	-person=72
@runde@	-location=19 -person=3
@gian_giorgio_trissino@	-person=31
@alexander_slidell_mackenzie@	-person=22
@gmina_błędów@	-location=54
@nicotine@	-medicine-drug=31 -living_thing=1
@lindsay_crouse@	-person=77
@stevan_jovetić@	-person=29
@gérard_darmon@	-person=30
@the_falls@	-art=28 -location=10 -event=1
@1991–92@	-event=404 -organization=1
@neil_marshall@	-person=70
@government_of_ireland@	-organization=209 -location=1
@berlin_missionary_society@	-organization=23
@mark_martin@	-person=386
@madden_nfl_2004@	-product=29
@plan_b@	-person=173 -art=24 -organization=7 -medicine-drug=4 -event=3
@anna_manahan@	-person=21
@maker_faire@	-event=44 -art=1
@bert_hinkler@	-person=51
@keith_smith@	-person=34
@decoy@	-broadcast_program=25 -product=8 -art=7
@battle_of_the_blades@	-event=58
@nerva@	-person=156 -location=1
@carlton_football_club@	-organization=455
@carré_otis@	-person=21
@art_directors_guild@	-organization=73
@mike_garman@	-person=23
@mic_christopher@	-person=20
@steve_gunderson@	-person=25
@harari_region@	-location=21
@john_corbett@	-person=24 -location=1
@beatus_of_liébana@	-person=26
@imi@	-organization=25 -person=4
@comptroller_general@	-title=27 -organization=5 -event=1
@red_alert@	-art=26 -broadcast_program=5 -person=3
@darko_pančev@	-person=37
@scopula_immorata@	-living_thing=38
@conquest_of_constantinople@	-event=33
@otterburn@	-location=26 -person=1
@prix_marcel_boussac@	-event=63
@william_bourchier,_3rd_earl_of_bath@	-person=20
@roxy_music@	-person=698 -art=15
@emir_rodríguez_monegal@	-person=28
@the_movie@	-art=39
@tim_thomerson@	-person=81
@stockton_south@	-location=21
@hc_chemopetrol_litvínov@	-organization=44
@k._s._sethumadhavan@	-person=37
@katonah@	-location=35 -person=2
@frank_langella@	-person=268
@elf@	-art=73 -organization=69 -person=58 -product=4 -location=2
@kumakōgen@	-location=29
@deep_purple@	-art=51
@tony_hale@	-person=64
@thrush@	-living_thing=107 -disease=12 -product=1 -organization=1
@pichilemu@	-location=202 -art=5
@warri@	-location=122 -organization=2
@live_at_leeds@	-art=65 -event=4
@city_beach@	-location=26 -art=5 -organization=2
@carpinus_caroliniana@	-living_thing=62
@compton_verney@	-location=24
@shelley@	-location=24 -broadcast_program=22 -person=12
@madurese@	-people-ethnicity=47 -language=11 -location=1
@silver_medal@	-event=15 -award=6
@grandfather_mountain@	-location=62
@buren@	-location=72
@shahdadpur@	-location=20
@marblehead@	-location=125 -product=8 -organization=1
@main_attrakionz@	-person=23
@march_1@	-time=354
@japan_business_federation@	-organization=20
@polia_bombycina@	-living_thing=37
@david_james@	-person=176
@paw@	-person=17 -art=4 -organization=3
@datarock@	-person=46
@muleskinner@	-person=16 -art=8
@welcome@	-art=32 -location=11 -person=1
@house_party@	-art=63 -broadcast_program=13
@1921_general_election@	-event=78
@brentwood,_california@	-location=46
@patrice_de_mac-mahon,_duke_of_magenta@	-person=25
@(you_drive_me)_crazy@	-art=38
@shajar_al-durr@	-person=24
@carmine@	-chemistry=11 -person=10 -location=9 -visual_art-color=5
@midwest@	-location=614 -organization=11
@stars_and_stripes@	-art=200 -product=1
@tab@	-food=26 -art=6 -location=6 -product=2 -organization=1 -person=1
@continental@	-organization=167 -location=73 -product=18 -event=17 -art=2 -person=1
@simon_fraser@	-person=118 -organization=33 -product=1
@alger_county@	-location=62
@brain_dead@	-disease=32 -person=4 -art=1
@chesterfield_county@	-location=183
@midtown_manhattan@	-location=685
@quapaw@	-people-ethnicity=90 -location=10 -language=4
@inzell@	-location=80
@nicolas_oudinot@	-person=45
@monoclonius@	-living_thing=23
@tarragona@	-location=682 -event=8 -organization=3
@portland_building@	-location=20 -person=1
@washington_generals@	-organization=36
@boris_gelfand@	-person=96
@fabio_casartelli@	-person=23
@round_mountain@	-location=19 -event=6
@national_science_and_technology_council@	-organization=24
@homestar_runner@	-internet-website=100 -product=1
@john_suchet@	-person=24
@arghandab_river@	-location=28
@hamburg_state_opera@	-organization=212
@macedonian@	-language=720 -location=499 -people-ethnicity=372 -organization=7 -event=1
@lotus_sutra@	-art=219
@pittwater@	-location=81 -event=4
@alf_prøysen@	-person=52
@saffron_walden@	-location=219 -organization=2
@îles_saint-marcouf@	-location=24 -event=1
@roadhouse@	-location=67 -person=6 -art=5
@british_rule@	-location=325 -event=1
@thessaloniki@	-location=28 -organization=3 -event=2
@luis_buñuel@	-person=529 -art=1
@loeb@	-person=17 -organization=8
@valenciennes_fc@	-organization=88
@grito_de_dolores@	-event=47 -time=1
@oakland_invaders@	-organization=77
@jack_murphy_stadium@	-location=28
@no_angel@	-art=36
@big_d_and_the_kids_table@	-person=86
@john_patitucci@	-person=158 -art=2
@hutchison_whampoa@	-organization=133
@game_boy_camera@	-product=26
@1970–71@	-event=182 -organization=9 -person=1
@rosh_hashanah@	-time=341 -location=2
@20th_century_boys@	-art=37
@museum_of_contemporary_art,_los_angeles@	-location=221
@clinton@	-location=672 -person=352 -organization=11 -event=2 -title=1
@ballyfermot@	-location=63
@gerry_collins@	-person=31
@watchespn@	-internet-website=19 -broadcast_network=1
@sightings@	-broadcast_program=19 -person=6
@kubota@	-organization=38 -location=12 -person=1
@mellrichstadt@	-location=25 -event=2
@transglobal_underground@	-person=69
@sagami_railway_main_line@	-metropolitan_transit-transit_line=24
@an_lushan@	-person=150
@air_dolomiti@	-organization=22
@giovanni_andrea_doria@	-person=22
@deportes_ovalle@	-organization=23
@scribner's_magazine@	-art=100
@ironton@	-location=71 -organization=2
@operation_focus@	-event=23
@ōno@	-location=57
@greyfriars@	-location=35 -organization=20
@music_row@	-location=71 -art=3
@king's_college,_aberdeen@	-organization=115
@hermanis_matisons@	-person=22
@killah_priest@	-person=142
@trento@	-location=19 -organization=4 -product=3
@burnt_oak@	-location=29
@u.s._department_of_homeland_security@	-organization=30 -location=1
@ripon@	-location=509 -product=5 -title=4 -organization=2 -person=1
@friends_university@	-organization=43
@herman_wilhelm_bissen@	-person=36
@dörtyol@	-location=22
@curtis_stigers@	-person=54 -art=3
@komura_jutarō@	-person=20
@xestia_alpicola@	-living_thing=20
@hilton_smith@	-person=27
@eastern_armenian@	-language=56
@postseason@	-event=83 -organization=4
@cleo@	-art=72 -person=8 -event=4 -organization=3 -broadcast_program=1
@murtala_mohammed@	-person=71
@sayville,_new_york@	-location=29
@rouben_mamoulian@	-person=86
@a_new_way_to_pay_old_debts@	-art=22
@farsley_celtic@	-organization=67
@nelson_algren@	-person=98
@belvedere@	-location=87 -person=9 -organization=6 -product=5 -art=5 -event=2
@thea_gill@	-person=21
@kuril_islands@	-location=560 -event=1
@berlioz@	-person=338 -art=3 -product=2
@frederick_terman@	-person=20
@tiruvannamalai@	-location=97
@waterman@	-organization=10 -location=6 -art=5 -person=3
@ash@	-living_thing=274 -person=268 -location=18 -art=11 -product=4 -god=4 -organization=2
@deadpool@	-product=30 -art=2
@philippe_boesmans@	-person=32
@international_journal_of_middle_east_studies@	-art=24
@ecolab@	-organization=33
@eminem@	-person=2250 -broadcast_program=1
@palpa@	-location=30 -language=1
@bacup@	-location=96 -organization=12
@frosty's_winter_wonderland@	-broadcast_program=28
@linda_womack@	-person=22
@the_crystal_method@	-person=176 -art=2
@bedrock@	-person=21 -organization=11 -art=7 -location=4 -product=2 -broadcast_program=1
@ostrówek@	-location=48
@devildriver@	-person=95 -art=4
@american_independence@	-event=22 -time=2 -art=1
@abdullah@	-person=45 -art=4
@ubon_royal_thai_air_force_base@	-location=53
@rodney_hampton@	-person=24
@about_you_now@	-art=57
@robert_w._woodruff@	-person=27
@síol_anmchadha@	-location=91
@vukovar@	-location=274 -event=4
@tevatron@	-location=71
@lff_lyga@	-organization=68 -event=1
@kington@	-location=70 -organization=1
@pentagon@	-location=433 -organization=26 -product=4 -art=1 -broadcast_program=1
@halensee@	-location=22
@european_cricket_championship@	-event=28
@cold_comfort_farm@	-art=39 -broadcast_program=9
@whitney_port@	-person=64
@laing_art_gallery@	-location=50
@tankaman_district@	-location=33
@the_ecologist@	-art=47
@june_14@	-time=287
@case_blue@	-event=39
@schauinsland@	-location=20
@holland_land_company@	-organization=102
@dominic_denucci@	-person=45
@maria_i_francisca@	-person=39
@terrible_things@	-person=19 -art=3
@william_croft@	-person=41
@boston_americans@	-organization=109 -event=7
@vince_spadea@	-person=53
@clazziquai@	-person=26 -product=1
@camillo_golgi@	-person=63
@fran_krsto_frankopan@	-person=31
@look_both_ways@	-art=34
@david_gilmour@	-person=753 -art=8
@east_meon@	-location=23
@james_spaulding@	-person=99
@mickey_simmonds@	-person=27
@jason_earles@	-person=37
@consuelo_vanderbilt@	-person=44
@kinzig@	-location=46
@the_buried_life@	-broadcast_program=18 -art=2
@wolf's_lair@	-location=81
@linux_mint@	-product=51
@oborniki_county@	-location=122
@konstantin_rokossovsky@	-person=95
@devil's_playground@	-art=13 -broadcast_program=8
@chris_ledoux@	-person=81
@kiss@	-person=1882 -art=40 -organization=7 -broadcast_network=6
@cassano_d'adda@	-location=32
@zoo_and_aquarium_association@	-organization=24
@ta@	-chemistry=14 -title=4 -organization=2 -art=1 -location=1
@kollur@	-location=39
@kalat@	-location=45
@super_bowl_xxxi@	-event=162
@ben_nelson@	-person=116
@november@	-art=18 -event=9 -person=6
@miyuki_nakajima@	-person=75
@eddie_yost@	-person=24
@majorca@	-location=1047 -event=1
@louisiana_territory@	-location=181 -event=7
@stockton_heath@	-location=27 -organization=3
@parliamentary_election@	-event=243
